task_id,sprint_id,task_classification,task_difficulty,priority,macro_domain,micro_domain,req_skill_PHP,req_skill_Python,req_skill_JavaScript,req_skill_TypeScript,req_skill_Go,req_skill_Rust,req_skill_C#,req_skill_C++,req_skill_Java,req_skill_Kotlin,req_skill_Swift,req_skill_Ruby,req_skill_Dart,req_skill_Lua,req_skill_R,req_skill_Laravel,req_skill_React,req_skill_Vue.js,req_skill_Next.js,req_skill_Nuxt.js,req_skill_Angular,req_skill_Svelte,req_skill_Django,req_skill_FastAPI,req_skill_Flask,req_skill_Spring Boot,req_skill_Ruby on Rails,req_skill_Express.js,req_skill_NestJS,req_skill_Flutter,req_skill_React Native,req_skill_Android (Native),req_skill_iOS (Native),req_skill_PostgreSQL,req_skill_MySQL,req_skill_SQLite,req_skill_MongoDB,req_skill_Redis,req_skill_Elasticsearch,req_skill_Firebase,req_skill_Supabase,req_skill_Pinecone,req_skill_Milvus,req_skill_ChromaDB,req_skill_Docker,req_skill_Kubernetes,req_skill_Git,req_skill_AWS,req_skill_Google Cloud,req_skill_Azure,req_skill_Cloudflare,req_skill_Terraform,req_skill_Nginx,req_skill_Linux,req_skill_MLflow,req_skill_Ollama,req_skill_Unity,req_skill_Unreal Engine,req_skill_Godot,req_skill_Figma,req_skill_Adobe XD,req_skill_Blender,req_skill_Photoshop,req_skill_PHPUnit,req_skill_Jest,req_skill_Cypress,req_skill_Selenium,req_skill_Pest,req_skill_TensorFlow,req_skill_PyTorch,req_skill_scikit-learn,req_skill_Pandas,req_skill_NumPy,req_skill_LangChain,req_skill_LlamaIndex,req_skill_Hugging Face,req_skill_Keras,req_skill_Strategic Leadership,req_skill_Business Development,req_skill_Financial Management,req_skill_Project Management,req_skill_Academic Research,req_skill_Partnership Management,req_skill_Digital Marketing,req_skill_Legal & Compliance,req_skill_REST APIs,req_skill_GraphQL,req_skill_gRPC,req_skill_WebSockets,req_skill_OpenAI API,req_skill_Anthropic API,req_skill_ElevenLabs API,req_skill_Hugging Face APIs,req_skill_Stripe API,req_skill_Twilio API,req_skill_OAuth / Auth0,estimated_hours,days_until_deadline,predecessor_tasks
1,1,Container Orchestration & Deployment,Hard,Critical,DevOps & IT Infrastructure,Containerization (Docker/Kubernetes),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,15,None
2,1,Product Requirements & Analysis,Hard,High,Product Strategy & Management,Technical Documentation & PRDs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,None
3,1,Algorithm Evaluation & Benchmarking,Medium,High,Data Science & Predictive Modeling,Algorithm Evaluation & Benchmarking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,None
4,1,LLM Prompt Engineering & RAG Integration,Hard,Critical,Data Science & Predictive Modeling,LLM Fine-Tuning & Prompt Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,39,None
5,1,Hardware Sensor Integration,Medium,High,Hardware Prototyping & Embedded Systems,Microcontroller Programming (Arduino/ESP32),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,None
6,1,DevSecOps & Security Auditing,Hard,Medium,DevOps & IT Infrastructure,Infrastructure as Code (Terraform),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,24,None
7,1,System Mechanics Planning,Hard,High,UI/UX & Digital Asset Design,System Mechanics Planning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,None
8,1,Market Viability Research,Medium,Critical,Product Strategy & Management,Market Viability & User Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,14,None
9,1,Algorithm Optimization & Refactoring,Medium,High,Web & SaaS Platforms,Full-Stack Development,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,60,None
10,1,Product Requirements & Analysis,Hard,Low,Product Strategy & Management,Requirements Gathering & Business Analysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,None
