employee_id,position,experience_years,macro_domains,micro_domains,skill_PHP,skill_Python,skill_JavaScript,skill_TypeScript,skill_Go,skill_Rust,skill_C#,skill_C++,skill_Java,skill_Kotlin,skill_Swift,skill_Ruby,skill_Dart,skill_Lua,skill_R,skill_Laravel,skill_React,skill_Vue.js,skill_Next.js,skill_Nuxt.js,skill_Angular,skill_Svelte,skill_Django,skill_FastAPI,skill_Flask,skill_Spring Boot,skill_Ruby on Rails,skill_Express.js,skill_NestJS,skill_Flutter,skill_React Native,skill_Android (Native),skill_iOS (Native),skill_PostgreSQL,skill_MySQL,skill_SQLite,skill_MongoDB,skill_Redis,skill_Elasticsearch,skill_Firebase,skill_Supabase,skill_Pinecone,skill_Milvus,skill_ChromaDB,skill_Docker,skill_Kubernetes,skill_GitHub Actions,skill_AWS,skill_Google Cloud,skill_Azure,skill_Terraform,skill_Nginx,skill_Linux,skill_MLflow,skill_Ollama,skill_Unity,skill_Unreal Engine,skill_Godot,skill_Figma,skill_Adobe XD,skill_Blender,skill_Photoshop,skill_PHPUnit,skill_Jest,skill_Cypress,skill_Selenium,skill_Pest,skill_TensorFlow,skill_PyTorch,skill_scikit-learn,skill_Pandas,skill_NumPy,skill_LangChain,skill_LlamaIndex,skill_Hugging Face,skill_Keras,availability_status,days_until_free,concurrent_tasks_count,daily_update_compliance_rate,individual_task_throughput
1,Backend Developer,7,"[1, 0, 0, 0, 0, 0, 1]","REST API Architecture,Database Architecture,CI/CD Pipeline Design,Containerization (Docker/Kubernetes)",5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,2,3,2,0,0,0,0,0,0,4,3,4,3,0,0,3,4,4,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,Available,0,0,0.95,0.92
2,Frontend Developer,4,"[1, 0, 0, 0, 1, 0, 0]","Portal & Dashboard Development,User Interface Design (Figma),UX Research & Wireframing,Accessibility Design (WCAG)",0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,Busy,5,2,0.88,1.05
3,Full Stack Developer,9,"[1, 0, 0, 0, 0, 0, 1]","Full-Stack Development,REST API Architecture,Database Architecture,CI/CD Pipeline Design",5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,3,3,4,0,3,3,3,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,Busy,8,3,0.92,0.98
4,Game Developer,6,"[0, 1, 0, 0, 0, 0, 0]","Unity Development,Game Physics Programming,Multiplayer & Netcode,Game UI/HUD Design",0,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.75,1.12
5,DevOps Engineer,10,"[0, 0, 0, 0, 0, 0, 1]","Cloud Deployment (AWS),CI/CD Pipeline Design,Containerization (Docker/Kubernetes),Infrastructure as Code (Terraform)",0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,5,5,5,4,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,12,3,0.98,0.85
6,MLOps Engineer,8,"[0, 0, 1, 0, 0, 0, 1]","MLOps & Model Deployment,Data Pipeline Engineering,Cloud Deployment (GCP),CI/CD Pipeline Design",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,4,3,5,0,3,5,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,3,4,3,3,Busy,7,2,0.91,0.95
7,QA Engineer,5,"[1, 0, 0, 0, 0, 0, 0]","Full-Stack Development,Portal & Dashboard Development,REST API Architecture,Database Architecture",0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,3,0,0,0,0,0,0,0,0,0,Busy,4,2,0.85,1.08
8,UI/UX Designer,3,"[1, 0, 0, 0, 1, 0, 0]","User Interface Design (Figma),UX Research & Wireframing,Accessibility Design (WCAG),Brand Identity Design",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Available,0,0,0.9,1.0
9,Mobile Developer,6,"[0, 0, 0, 0, 0, 1, 0]","Flutter (Cross-Platform),Native Android (Kotlin),Mobile UI/UX Patterns,Offline-First Mobile Architecture",0,0,0,2,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,2,3,2,3,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,6,2,0.82,1.03
10,Data / ML Engineer,11,"[0, 0, 1, 0, 0, 0, 0]","Machine Learning (Supervised),Data Analytics & Visualization,Time-Series Forecasting,Data Pipeline Engineering",0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,2,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,4,4,0,4,4,4,Busy,10,3,0.94,0.88
11,AI Engineer,9,"[0, 0, 1, 0, 0, 0, 1]","LLM Fine-Tuning & Prompt Engineering,RAG (Retrieval-Augmented Generation),Vector Databases (Pinecone/Milvus),MLOps & Model Deployment",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,3,4,4,0,3,4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,3,5,5,4,4,Busy,9,3,0.97,0.9
12,Data Analyst,4,"[0, 0, 1, 0, 0, 0, 0]","Data Analytics & Visualization,Statistical Modeling,Machine Learning (Supervised),Time-Series Forecasting",0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,0,0,3,0,Available,0,0,0.88,1.1
13,Cybersecurity Engineer,12,"[0, 0, 0, 0, 0, 0, 1]","Cybersecurity & Hardening,Cloud Deployment (AWS),Infrastructure as Code (Terraform),Site Reliability Engineering",0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,4,5,3,3,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Busy,14,4,0.99,0.82
